abk,ab,Abkhazian,
ace,,Achinese,
ach,,Acoli,
ada,,Adangme,
ady,,Adyghe,
aar,aa,Afar,
afh,,Afrihili,
afr,af,Afrikaans,
afa,,AfroAsiatic,
ain,,Ainu,
aka,ak,Akan,
akk,,Akkadian,
sqi,sq,Albanian,
sqi,sq,Albanian,
ale,,Aleut,
alg,,Algonquian,
tut,,Altaic,
amh,am,Amharic,
anp,,Angika,
apa,,Apache,
ara,ar,Arabic,
arg,an,Aragonese,
arc,,Aramaic,
arp,,Arapaho,
arw,,Arawak,
hye,hy,Armenian,
hye,hy,Armenian,
rup,,Aromanian,
art,,Artificial,
asm,as,Assamese,
ast,,Asturian,
ath,,Athapascan,
aus,,Australian,
map,,Austronesian,
ava,av,Avaric,
ave,ae,Avestan,
awa,,Awadhi,
aym,ay,Aymara,
aze,az,Azerbaijani,
ban,,Balinese,
bat,,Baltic,
bal,,Baluchi,
bam,bm,Bambara,
bai,,Bamileke,
bad,,Banda,
bnt,,Bantu,
bas,,Basa,
bak,ba,Bashkir,
eus,eu,Basque,
eus,eu,Basque,
btk,,Batak,
bej,,Beja,
bel,be,Belarusian,
bem,,Bemba,
ben,bn,Bengali,
ber,,Berber,
bho,,Bhojpuri,
bih,bh,Bihari,
bik,,Bikol,
bin,,Bini,
bis,bi,Bislama,
byn,,Blin,
zbl,,Blissymbols,
bos,bs,Bosnian,
bra,,Braj,
bre,br,Breton,
bug,,Buginese,
bul,bg,Bulgarian,
bua,,Buriat,
mya,my,Burmese,
mya,my,Burmese,
cad,,Caddo,
cat,ca,Catalan,
cau,,Caucasian,
ceb,,Cebuano,
cel,,Celtic,
cai,,CentralAmericanIndian,
chg,,Chagatai,
cmc,,Chamic,
cha,ch,Chamorro,
che,ce,Chechen,
chr,,Cherokee,
chy,,Cheyenne,
chb,,Chibcha,
nya,ny,Chichewa,
zho,zh,Chinese,
zho,zh,Chinese,
chn,,Chinookjargon,
chp,,Chipewyan,
cho,,Choctaw,
chu,cu,ChurchSlavic,
chk,,Chuukese,
chv,cv,Chuvash,
nwc,,ClassicalNewari,
syc,,ClassicalSyriac,
cop,,Coptic,
cor,kw,Cornish,
cos,co,Corsican,
cre,cr,Cree,
mus,,Creek,
crp,,Creolesandpidgins,
cpe,,"CreolesandpidginsEnglish""",
cpf,,"CreolesandpidginsFrench""",
cpp,,"CreolesandpidginsPortuguese""",
crh,,CrimeanTatar,
hrv,hr,Croatian,
cus,,Cushitic,
ces,cs,Czech,
ces,cs,Czech,
dak,,Dakota,
dan,da,Danish,
dar,,Dargwa,
del,,Delaware,
din,,Dinka,
div,dv,Divehi,
doi,,Dogri,
dgr,,Dogrib,
dra,,Dravidian,
dua,,Duala,
nld,nl,Dutch,
nld,nl,Dutch,
dum,,"DutchMiddle""",
dyu,,Dyula,
dzo,dz,Dzongkha,
frs,,EasternFrisian,
efi,,Efik,
egy,,EgyptianAncient,
eka,,Ekajuk,
elx,,Elamite,
eng,en,English,
enm,,"EnglishMiddle""",
ang,,"EnglishOld""",
myv,,Erzya,
epo,eo,Esperanto,
est,et,Estonian,
ewe,ee,Ewe,
ewo,,Ewondo,
fan,,Fang,
fat,,Fanti,
fao,fo,Faroese,
fij,fj,Fijian,
fil,,Filipino,
fin,fi,Finnish,
fiu,,FinnoUgrian,
fon,,Fon,
fra,fr,French,
frm,,"FrenchMiddle""",
fro,,"FrenchOld""",
fry,fy,Frisian,
fur,,Friulian,
ful,ff,Fulah,
gaa,,Ga,
gla,gd,Gaelic,
car,,GalibiCarib,
glg,gl,Galician,
lug,lg,Ganda,
gay,,Gayo,
gba,,Gbaya,
gez,,Geez,
kat,ka,Georgian,
kat,ka,Georgian,
deu,de,German,
deu,de,German,
gem,,Germanic,
gmh,,"GermanMiddleHigh""",
goh,,"GermanOldHigh""",
gil,,Gilbertese,
gon,,Gondi,
gor,,Gorontalo,
got,,Gothic,
grb,,Grebo,
ell,el,"Greek""",
ell,el,"Greek""",
grc,,"GreekAncient""",
grn,gn,Guarani,
guj,gu,Gujarati,
gwi,,Gwichin,
hai,,Haida,
hat,ht,Haitian,
hau,ha,Hausa,
haw,,Hawaiian,
heb,he,Hebrew,
her,hz,Herero,
hil,,Hiligaynon,
him,,Himachali,
hin,hi,Hindi,
hmo,ho,HiriMotu,
hit,,Hittite,
hmn,,Hmong,
hun,hu,Hungarian,
hup,,Hupa,
iba,,Iban,
isl,is,Icelandic,
isl,is,Icelandic,
ido,io,Ido,
ibo,ig,Igbo,
ijo,,Ijo,
ilo,,Iloko,
smn,,InariSami,
inc,,Indic,
ine,,IndoEuropean,
ind,id,Indonesian,
inh,,Ingush,
ina,ia,Interlingua,
ile,ie,Interlingue,
iku,iu,Inuktitut,
ipk,ik,Inupiaq,
ira,,Iranian,
gle,ga,Irish,
mga,,"IrishMiddle""",
sga,,"IrishOld""",
iro,,Iroquoian,
ita,it,Italian,
jpn,ja,Japanese,
jav,jv,Javanese,
